Feature,rank1,rank2,Imp1,Imp2
GrLivArea,1,0,0.17042374323098092,0.13236969033465296
OverallQual,0,1,0.18542395486791996,0.0875634128426852
Age,2,2,0.08157465696769169,0.03228138954338455
TotalBsmtSF,5,3,0.04890655795149276,0.020648147776301196
1stFlrSF,7,4,0.04098071423085659,0.018703847148048958
ExterQual,3,5,0.07378636003758773,0.01271259578901296
BsmtFinSF1,10,6,0.017366415029052597,0.011191678069662148
LotArea,9,7,0.020051016566277405,0.009975695598823386
GarageCars,4,8,0.052193019420674176,0.00994390856153815
GarageArea,6,9,0.04456506034170874,0.008613485080702032
Re_Age,13,10,0.014855837367638937,0.008412867557450077
CentralAir,19,11,0.010412416379767742,0.00727052232963854
2ndFlrSF,12,12,0.016671753140257997,0.006519134509802238
Fireplaces,16,13,0.012985514411103643,0.005695865788445165
OverallCond,17,14,0.01124795808859629,0.005356227547949066
KitchenQual,11,15,0.017264947122011855,0.004806546032470549
FullBath,8,16,0.03353047598774394,0.0040060013425115
GarageType,14,17,0.01433717352627302,0.0035461641619490836
Neighborhood,23,18,0.005359792045805376,0.0029705332560071573
BsmtQual,15,19,0.01400548273118477,0.0027959123093275196
TotRmsAbvGrd,20,20,0.00748424774200866,0.0027176789576902616
LotFrontage,18,21,0.010451295686865592,0.002503423314525577
MSZoning,25,22,0.004455803096118819,0.0017885055200891342
KitchenAbvGr,54,23,0.0009845149324715062,0.0016837249234312734
BsmtFinType1,29,24,0.0034190568302795267,0.0015165484423815823
OpenPorchSF,26,25,0.004357782294544313,0.001351407791030712
MasVnrArea,24,26,0.005127524905034446,0.001312865409727193
BedroomAbvGr,31,27,0.0033367450021976625,0.001261618704048062
HalfBath,35,28,0.0026917998706244796,0.0011402098239421399
WoodDeckSF,28,29,0.003590507189066352,0.0010133848185659433
BsmtUnfSF,21,30,0.0057775611375626545,0.0009623443461361791
BsmtFullBath,46,31,0.0014941126024755904,0.0008737637793039266
GarageQual,33,32,0.0029987943644261468,0.0008447687523468472
Fence,49,33,0.0013657574848000861,0.0008079424655719203
SaleCondition,38,34,0.0021795115878549837,0.0006679295138624086
BsmtExposure,40,35,0.0021084804122011706,0.0006301167946098918
FireplaceQu,48,36,0.0014004929713862125,0.0005831796142120593
Foundation,27,37,0.0043087916468301235,0.0005562338403299893
PavedDrive,45,38,0.001498540430733695,0.0005037878656327655
GarageCond,34,39,0.0028556342749920544,0.0004894358726096337
BldgType,43,40,0.0017438453257765376,0.00048783657438233874
HeatingQC,37,41,0.0024621191712433745,0.0004498416551828033
Functional,52,42,0.0010882197258586393,0.0004100493287085838
HouseStyle,44,43,0.0016042994399669355,0.0004051803789422159
LandSlope,50,44,0.0012361493456460545,0.0003694500264815881
MasVnrType,57,45,0.0008318604939328847,0.00033783659539510236
Exterior1st,36,46,0.002513187783111762,0.00029319752531975496
Alley,62,47,0.0006473168403845977,-0.0002756309969992321
ExterCond,39,48,0.00215646456623916,0.0002716555542519039
BsmtCond,53,49,0.0010847627206414506,0.0002449415459199189
random,22,50,0.005461229872303999,0.00023560003955680475
LandContour,56,51,0.0008832015824183341,0.00021499484957565596
LotShape,47,52,0.0014556343334213868,0.000210370871586818
Electrical,55,53,0.0008872543763682992,-0.00020583176338107023
ScreenPorch,61,54,0.0006951545373476069,0.0001884966932957921
LotConfig,60,55,0.0007131198891730894,0.00014142782891468642
SaleType,59,56,0.0007455283889081588,0.00012632764044884226
Exterior2nd,41,57,0.0020627488091224124,0.00011410490224927905
BsmtFinType2,63,58,0.0006279436373798263,8.097115460847792e-05
BsmtFinSF2,58,59,0.0007881323741126199,8.08056977135152e-05
MoSold,30,60,0.003387938394332342,7.101753337013239e-05
Artery,67,61,0.0003040688166728279,5.9188551527755706e-05
EnclosedPorch,42,62,0.001847173221763574,-5.645371297124946e-05
MiscFeature,70,63,0.00022166648758852907,-5.31406661788969e-05
MiscVal,64,64,0.0004394830859124004,-3.101499907243177e-05
Feedr,65,65,0.0004037421313216908,1.931620528239364e-05
RoofMatl,71,66,0.00017755368170035822,1.6518253683761586e-05
Heating,66,67,0.00033603822413186957,-1.4792475313218922e-05
3SsnPorch,72,68,0.00012575614391494488,-1.2435006319644337e-05
LowQualFinSF,68,69,0.00029704824638138747,-1.0144242692744498e-05
RRAn,76,70,4.573556946895894e-05,9.532509748888529e-06
PosN,79,71,1.9640892178406174e-05,8.196220077305583e-06
RoofStyle,51,72,0.0011168437884869385,7.698886372642377e-06
RRAe,73,73,0.00011188006039225107,5.998017921227117e-06
BsmtHalfBath,69,74,0.00025008279837308736,5.2107603947249e-06
GarageFinish,32,75,0.0031905997977931576,2.8385160080190985e-06
Street,74,76,9.644829872461501e-05,0.0
Utilities,82,77,1.1614991884394743e-07,0.0
PoolArea,78,78,2.028950139035934e-05,0.0
PoolQC,80,79,7.551754733422918e-06,0.0
PosA,75,80,5.488534795147008e-05,0.0
RRNe,81,81,3.530811063426392e-07,0.0
RRNn,77,82,2.7127405305015007e-05,0.0
