,Feature,Coef
0,GrLivArea,0.13635147382251395
1,OverallQual,0.08543463747097009
2,Age,-0.054850936929869046
3,OverallCond,0.04148744538616356
4,TotalBsmtSF,0.04148087288699352
5,BsmtFinSF1,0.028819280509628977
6,SaleType_New,0.026110133654614714
7,GarageCars,0.019818891089199625
8,MSZoning_RL,0.019313729188720746
9,Neighborhood_Crawfor,0.018370944953223906
10,GarageArea,0.018286837460846434
11,Re_Age,-0.017358099955931294
12,LotArea,0.016214809931785867
13,SaleCondition_Normal,0.01596856236370155
14,Foundation_PConc,0.014823285942350781
15,Functional_Typ,0.013383257173658271
16,CentralAir_Y,0.013298298933345092
17,BsmtExposure_Gd,0.012340037466976444
18,Neighborhood_NridgHt,0.01162373637133384
19,BsmtFullBath,0.01064817304178803
20,MSZoning_FV,0.009642072567976293
21,LotFrontage,0.009565444220536306
22,BldgType_Twnhs,-0.009300994531383066
23,Neighborhood_StoneBr,0.00928739380054021
24,Fireplaces,0.009052447620680212
25,KitchenAbvGr,-0.008917083033660643
26,ScreenPorch,0.00857699886443424
27,WoodDeckSF,0.008489614955618376
28,Artery,-0.008330087891751518
29,Neighborhood_MeadowV,-0.007938500791203156
30,HeatingQC_TA,-0.007930263816494736
31,Exterior1st_BrkFace,0.007614103334588657
32,Heating_Grav,-0.006476572956055582
33,LotConfig_CulDSac,0.006237203490998874
34,Neighborhood_IDOTRR,-0.00617297399412542
35,Neighborhood_Somerst,0.005755948848467787
36,Feedr,-0.005527920143919429
37,FireplaceQu_None,-0.005280953643852887
38,RRAe,-0.0050469582203922425
39,Street_Pave,0.0049727197880797495
40,MasVnrType_Stone,0.00416747969575612
41,HalfBath,0.0037800782602834893
42,Exterior1st_BrkComm,-0.00377524852297284
43,FireplaceQu_Gd,0.0035417400062573603
44,OpenPorchSF,0.0029765521448615385
45,KitchenQual_TA,-0.002772248343476762
46,PavedDrive_Y,0.0027635638561257364
47,BsmtFinType1_GLQ,0.0026480410231941027
48,Neighborhood_ClearCr,0.002515644983575311
49,Neighborhood_BrkSide,0.0024837032304542224
50,BsmtExposure_No,-0.0023369111142689985
51,GarageCond_TA,0.002155470623773767
52,GarageFinish_None,-0.0019392819440274508
53,ExterCond_TA,0.001819080616181706
54,ExterCond_Fa,-0.0017742910145567101
55,Neighborhood_BrDale,-0.0016336765726191159
56,1stFlrSF,0.0015720253908670142
57,BsmtFinType1_Unf,-0.001306102830405558
58,ExterQual_TA,-0.0012107828183422606
59,GarageCond_Fa,-0.0011727621475010979
60,Neighborhood_Edwards,-0.001107793975900861
61,GarageType_None,-0.001095456760488404
62,Foundation_Wood,-0.001049496488735173
63,LotShape_IR2,0.00102466143528799
64,GarageType_Basment,-0.0009949060934342667
65,BldgType_TwnhsE,-0.0009710072695961479
66,Exterior1st_Wd Sdng,-0.0009584688469823873
67,Neighborhood_OldTown,-0.0008286122002561647
68,FullBath,0.000814092347657151
69,MoSold_5,0.0007756396936411843
70,BsmtFinType2_GLQ,0.0007426535702209421
71,GarageType_CarPort,-0.0007176054978753068
72,Neighborhood_Veenker,0.000691516568960932
73,LowQualFinSF,-0.0006169313106958129
74,GarageCond_None,-0.0003754328731458086
75,GarageQual_None,-0.0003700895025297735
76,GarageType_Attchd,0.00027136318092521356
77,Exterior1st_HdBoard,-0.000264652833493616
78,Neighborhood_NWAmes,-0.00023221818543999305
79,HeatingQC_Gd,-9.634973693405043e-05
80,Fence_GdWo,-2.8956723282012797e-06
81,MasVnrArea,0.0
82,BsmtFinSF2,0.0
83,BsmtUnfSF,-0.0
84,2ndFlrSF,0.0
85,BsmtHalfBath,-0.0
86,BedroomAbvGr,0.0
87,TotRmsAbvGrd,0.0
88,EnclosedPorch,0.0
89,3SsnPorch,0.0
90,PoolArea,0.0
91,PoolQC,0.0
92,MiscVal,-0.0
93,PosA,-0.0
94,PosN,-0.0
95,RRAn,-0.0
96,RRNe,-0.0
97,RRNn,0.0
98,BldgType_2fmCon,-0.0
99,BldgType_Duplex,-0.0
100,HouseStyle_1.5Unf,0.0
101,HouseStyle_1Story,-0.0
102,HouseStyle_2.5Unf,0.0
103,HouseStyle_2Story,-0.0
104,HouseStyle_SFoyer,-0.0
105,HouseStyle_SLvl,0.0
106,ExterCond_Gd,-0.0
107,ExterCond_Po,-0.0
108,KitchenQual_Fa,-0.0
109,KitchenQual_Gd,-0.0
110,RoofMatl_Tar&Grv,-0.0
111,RoofMatl_WdShake,-0.0
112,RoofMatl_WdShngl,0.0
113,SaleType_CWD,0.0
114,SaleType_Con,0.0
115,SaleType_ConLD,0.0
116,SaleType_ConLI,-0.0
117,SaleType_ConLw,0.0
118,SaleType_Oth,0.0
119,SaleType_WD,-0.0
120,GarageType_BuiltIn,0.0
121,GarageType_Detchd,-0.0
122,Exterior2nd_AsphShn,0.0
123,Exterior2nd_Brk Cmn,-0.0
124,Exterior2nd_BrkFace,-0.0
125,Exterior2nd_CBlock,-0.0
126,Exterior2nd_CmentBd,0.0
127,Exterior2nd_HdBoard,-0.0
128,Exterior2nd_ImStucc,-0.0
129,Exterior2nd_MetalSd,0.0
130,Exterior2nd_Plywood,-0.0
131,Exterior2nd_Stone,0.0
132,Exterior2nd_Stucco,0.0
133,Exterior2nd_VinylSd,0.0
134,Exterior2nd_Wd Sdng,-0.0
135,Exterior2nd_Wd Shng,-0.0
136,BsmtExposure_Mn,-0.0
137,BsmtExposure_None,0.0
138,BsmtFinType1_BLQ,0.0
139,BsmtFinType1_LwQ,-0.0
140,BsmtFinType1_None,0.0
141,BsmtFinType1_Rec,-0.0
142,LotShape_IR3,-0.0
143,LotShape_Reg,-0.0
144,RoofStyle_Gable,-0.0
145,RoofStyle_Gambrel,-0.0
146,RoofStyle_Hip,0.0
147,RoofStyle_Mansard,0.0
148,RoofStyle_Shed,0.0
149,GarageQual_Gd,0.0
150,GarageQual_Po,-0.0
151,GarageQual_TA,0.0
152,Alley_None,-0.0
153,Alley_Pave,0.0
154,LandContour_HLS,0.0
155,LandContour_Low,-0.0
156,LandContour_Lvl,-0.0
157,Neighborhood_Blueste,-0.0
158,Neighborhood_CollgCr,0.0
159,Neighborhood_Gilbert,-0.0
160,Neighborhood_Mitchel,-0.0
161,Neighborhood_NAmes,-0.0
162,Neighborhood_NPkVill,-0.0
163,Neighborhood_NoRidge,0.0
164,Neighborhood_SWISU,-0.0
165,Neighborhood_Sawyer,0.0
166,Neighborhood_SawyerW,-0.0
167,Neighborhood_Timber,0.0
168,BsmtFinType2_BLQ,-0.0
169,BsmtFinType2_LwQ,-0.0
170,BsmtFinType2_None,0.0
171,BsmtFinType2_Rec,-0.0
172,BsmtFinType2_Unf,-0.0
173,MiscFeature_None,0.0
174,MiscFeature_Othr,-0.0
175,MiscFeature_Shed,-0.0
176,BsmtCond_Gd,0.0
177,BsmtCond_None,0.0
178,BsmtCond_Po,-0.0
179,BsmtCond_TA,0.0
180,ExterQual_Fa,-0.0
181,ExterQual_Gd,0.0
182,GarageFinish_RFn,0.0
183,GarageFinish_Unf,-0.0
184,Foundation_CBlock,-0.0
185,Foundation_Slab,0.0
186,Foundation_Stone,0.0
187,MasVnrType_BrkFace,-0.0
188,MasVnrType_None,-0.0
189,HeatingQC_Fa,-0.0
190,HeatingQC_Po,-0.0
191,Heating_GasW,0.0
192,Heating_Wall,0.0
193,GarageCond_Gd,0.0
194,GarageCond_Po,0.0
195,Electrical_FuseF,0.0
196,Electrical_FuseP,-0.0
197,Electrical_SBrkr,-0.0
198,LandSlope_Mod,0.0
199,LandSlope_Sev,-0.0
200,FireplaceQu_Fa,0.0
201,FireplaceQu_Po,-0.0
202,FireplaceQu_TA,0.0
203,BsmtQual_Fa,-0.0
204,BsmtQual_Gd,-0.0
205,BsmtQual_None,0.0
206,BsmtQual_TA,-0.0
207,MoSold_10,-0.0
208,MoSold_11,-0.0
209,MoSold_12,-0.0
210,MoSold_2,-0.0
211,MoSold_3,-0.0
212,MoSold_4,-0.0
213,MoSold_6,0.0
