Feature,rank2,rank1,Imp2,Imp1
TotalSF,0,1,0.014161238822401678,0.17132090918755466
OverallQual,1,0,0.011683625644523382,0.184378595276835
HouseCond,2,2,0.007689117433403184,0.10347163796203193
Age,3,4,0.00499128584153169,0.0714323084341413
GrLivArea,4,3,0.004930225891305966,0.08599454817894109
OverallQualCon,5,8,0.0021669664402941095,0.029958534838009903
GarageCars,6,6,0.0017783070955217778,0.041821824667299556
TotalBath,7,5,0.001528506533872858,0.04560734726403839
ExterQual,8,7,0.0010733917752477062,0.03911881585489781
1stFlrSF,9,9,0.000880268476422497,0.02740722292098383
LotArea,10,12,0.0008282964364894271,0.014427984099224666
BsmtQual,11,10,0.0008086968430138976,0.020981392311938605
GarageType,12,11,0.0007555091006437482,0.01656470454770629
BsmtGLQFinSF,13,14,0.0005599398501898601,0.009959443141327112
HasFireplace,14,15,0.0005490780261021219,0.00910816196813992
KitchenQual,15,13,0.0004934732506675643,0.01260264362872778
MSZoning,16,21,0.0003720943691356282,0.004894139442965608
BsmtUnfSF,17,17,0.00036488773779732274,0.007019452201692032
CentralAir,18,19,0.00034793301596222626,0.006049430420255867
TotPorchDeckSF,19,18,0.0003436781948010191,0.006654617080716203
LotFrontage,20,16,0.0002708609103476197,0.00860380580785467
Neighborhood,21,20,0.0002470006113635421,0.005439210188077373
Foundation,22,22,0.00016623532758455392,0.004475851804168386
GarageQual,23,29,0.00015542591824600424,0.0034582509469651274
SaleCondition,24,33,0.00014714766530488435,0.0023905905019414968
OverallCond,25,25,0.00013786945895651222,0.003882900699544938
MSSubClass,26,31,0.0001171942630628104,0.00321123455728107
MasVnrArea,27,23,0.00011471276738321198,0.004005977899700402
FireplaceQu,28,39,0.00010545380773874409,0.001974456840175612
KitchenAbvGr,29,45,8.649363561769909e-05,0.0012111292410324319
GarageFinish,30,30,8.619122225413459e-05,0.0034400050512747534
GarageCond,31,27,8.224212842760856e-05,0.003569133800926957
PavedDrive,32,40,7.630784198024362e-05,0.0017308090438422409
LotShape,33,42,6.091460403510364e-05,0.001593243860133051
HasGarage,34,41,6.070087327419982e-05,0.001636959653545769
HouseStyle,35,38,5.8098914857959705e-05,0.0019843589870046914
SaleType,36,54,5.731023488075686e-05,0.0008141026093998175
BldgType,37,53,5.599075013136903e-05,0.0008327276120611899
Exterior1st,38,35,5.516946209067897e-05,0.002342250113358763
BedroomAbvGr,39,34,5.269541068563671e-05,0.002386092337993479
BsmtExposure,40,37,5.018338011794979e-05,0.002038254610133069
Artery,41,58,4.5307328219954326e-05,0.0006436458434944618
Exterior2nd,42,32,4.490700847502305e-05,0.002397864468279028
BsmtCond,43,55,4.277627655491917e-05,0.0008080123184101475
Functional,44,47,4.064009175360969e-05,0.0010023605644107177
MasVnrType,45,48,3.954004796411642e-05,0.0009939318815116174
HeatingQC,46,36,3.835415071851665e-05,0.002158279941855964
BsmtHasBath,47,43,3.73171458856892e-05,0.0015159272814523027
LandSlope,48,51,3.68593092133114e-05,0.000882537866219613
Has2ndFlr,49,57,1.7760866729192235e-05,0.0007382661637041822
LandContour,50,46,-1.3566155021366849e-05,0.0010080591899409449
HasBsmt,51,63,-1.2664115669023743e-05,0.00023530687054806935
MoSold,52,26,9.939427693318736e-06,0.0036216732449525367
Electrical,53,49,7.86269646485191e-06,0.0009783196843036893
Feedr,54,61,6.526945942046669e-06,0.0002850445893955016
Remod_Rcy,55,28,6.293745160118602e-06,0.0035001812935526394
RoofMatl,56,60,-5.978535623677589e-06,0.00042903676975184987
random,57,24,-5.715014737872268e-06,0.003980312071457626
Fence,58,44,5.567506680539264e-06,0.0012652959100599788
ExterCond,59,56,5.194536331876512e-06,0.0007744344078293318
Alley,60,59,4.882978829516896e-06,0.0006009726755583858
RRAn,61,64,-4.357211467843208e-06,0.0001393097961793014
RoofStyle,62,52,3.788931979739271e-06,0.0008444893124574691
LotConfig,63,50,-2.2497581379111314e-06,0.0009158586152547
RRAe,64,65,1.984743020615534e-06,8.608149319318848e-05
LowQualFinSF,65,62,-1.3953240920756144e-06,0.00023711511187399654
PosA,66,67,-1.2502227154185391e-06,6.359405964854042e-05
RRNn,67,68,1.0874072570513094e-06,2.577174424089257e-05
PosN,68,66,1.0558938563654668e-06,6.971812879040427e-05
RRNe,69,69,0.0,3.5391078300085995e-06
