,Feature,Coef
0,TotalSF,0.11549423863193582
1,Age,-0.10912842003596628
2,OverallQual,0.1085580657752594
3,SaleType_New,0.10511886074515293
4,Neighborhood_Crawfor,0.09594566508836018
5,MSZoning_FV,0.07745327051469592
6,GrLivArea,0.07230966940610893
7,CentralAir_Y,0.06638923505190321
8,MSSubClass_160,-0.06318454858956771
9,MSZoning_RL,0.0624498642007077
10,SaleCondition_Normal,0.05814799057984243
11,Neighborhood_StoneBr,0.056932988508975185
12,Functional_Typ,0.049224694945280006
13,Artery,-0.04590674084533255
14,GarageCars,0.04374956060152522
15,KitchenAbvGr,-0.04000550241489803
16,Exterior1st_BrkFace,0.039951067873784406
17,BsmtExposure_Gd,0.034181111525000495
18,Neighborhood_NridgHt,0.03399210788558878
19,HouseCond,0.03145566709497098
20,Foundation_PConc,0.03131266341384044
21,MSSubClass_30,-0.03070480932003066
22,Neighborhood_MeadowV,-0.03029465921256512
23,OverallCond,0.030147578700326527
24,Neighborhood_BrkSide,0.029191289775088575
25,Neighborhood_Somerst,0.028427810794929287
26,LotConfig_CulDSac,0.02824265886805749
27,BsmtQual_Ex,0.02818193886613354
28,BsmtUnfSF,-0.02636318018012735
29,TotPorchDeckSF,0.024692929434697898
30,Feedr,-0.024515822635529778
31,HasFireplace,0.02322346411552634
32,GarageCond_TA,0.02296407055942736
33,ExterCond_TA,0.020118519291185324
34,Neighborhood_NWAmes,-0.017650730214013786
35,KitchenQual_Gd,-0.017529366332235136
36,MasVnrType_Stone,0.017207806236021618
37,KitchenQual_TA,-0.016126624996502723
38,PavedDrive_Y,0.0157526876000006
39,HeatingQC_TA,-0.015654265133785695
40,BsmtGLQFinSF,0.015427000324888137
41,Neighborhood_IDOTRR,-0.013414584234711181
42,BldgType_Twnhs,-0.01294904870970917
43,TotalBath,0.012279171911116077
44,HasGarage,0.011735636614352209
45,Exterior1st_MetalSd,0.01158651506959488
46,Remod_Rcy,0.011001296076175645
47,FireplaceQu_Gd,0.010909652066132548
48,RRAe,-0.010715677972350538
49,MSSubClass_70,0.010472848370181932
50,Neighborhood_Edwards,-0.01041733780184612
51,MoSold_5,0.009950801531818024
52,LotFrontage,0.00917852205537251
53,MSSubClass_20,0.008244369292724346
54,GarageQual_Gd_Ex,0.008032897276043394
55,LotArea,0.007791232400855288
56,Exterior1st_Wd Sdng,-0.0063842924184036275
57,HeatingQC_Gd,-0.005649989017633515
58,BsmtExposure_No,-0.005548246047435306
59,OverallQualCon,0.004794634587803121
60,Fence_None,0.004678941851607888
61,MasVnrArea,0.00427541708396625
62,Exterior1st_HdBoard,-0.00415506568324151
63,MoSold_7,0.003563991213096734
64,BsmtCond_TA,0.0035593801745829722
65,MoSold_6,0.0033170307623458365
66,Exterior1st_VinylSd,0.0028962005008726474
67,MSSubClass_90,-0.0024687339143446077
68,SaleType_WD,-0.0023086168678067395
69,LotConfig_Inside,-0.0015311367277051943
70,ExterQual_TA,-0.0012499624566923613
71,FireplaceQu_None,-0.001073124817126013
72,Fence_GdWo,-0.0010049447674364512
73,BsmtQual_Gd,-0.0008941378837231114
74,BldgType_Duplex,-0.0007118542439490772
75,Neighborhood_Mitchel,-0.0006991093783876606
76,HeatingQC_Fa,-0.0006094223577439906
77,MasVnrType_BrkFace,-0.0006074864345649937
78,LowQualFinSF,5.587299776449068e-05
79,1stFlrSF,0.0
80,BedroomAbvGr,-0.0
81,PosA,-0.0
82,PosN,-0.0
83,RRAn,-0.0
84,RRNe,-0.0
85,RRNn,-0.0
86,Has2ndFlr,-0.0
87,BsmtHasBath,0.0
88,HasBsmt,-0.0
89,GarageFinish_Fin,0.0
90,GarageFinish_RFn,0.0
91,GarageFinish_Unf,-0.0
92,GarageQual_Po_Fa,-0.0
93,GarageQual_TA,0.0
94,GarageType_2Types,-0.0
95,GarageType_Attchd,0.0
96,GarageType_Basment,-0.0
97,GarageType_BuiltIn,0.0
98,GarageType_CarPort,-0.0
99,GarageType_Detchd,0.0
100,GarageCond_Ex,0.0
101,GarageCond_Fa,-0.0
102,GarageCond_Gd,0.0
103,GarageCond_Po,0.0
104,BsmtQual_Fa,0.0
105,BsmtQual_TA,-0.0
106,BsmtCond_Fa,-0.0
107,BsmtCond_Gd,-0.0
108,BsmtCond_Po,0.0
109,BsmtExposure_Av,0.0
110,BsmtExposure_Mn,-0.0
111,LotConfig_FR2,-0.0
112,LotConfig_FR3,-0.0
113,LandContour_HLS,0.0
114,LandContour_Low,-0.0
115,LandContour_Lvl,-0.0
116,Exterior1st_AsphShn,-0.0
117,Exterior1st_BrkComm,-0.0
118,Exterior1st_CBlock,-0.0
119,Exterior1st_CemntBd,-0.0
120,Exterior1st_Plywood,-0.0
121,Exterior1st_Stucco,0.0
122,Exterior1st_WdShing,0.0
123,Exterior2nd_AsphShn,0.0
124,Exterior2nd_Brk Cmn,-0.0
125,Exterior2nd_BrkFace,-0.0
126,Exterior2nd_CBlock,-0.0
127,Exterior2nd_CmentBd,-0.0
128,Exterior2nd_HdBoard,-0.0
129,Exterior2nd_ImStucc,-0.0
130,Exterior2nd_MetalSd,0.0
