,Feature,Importance
0,OverallQual,0.23948748409748077
1,TotalSF,0.2211768627166748
2,HouseCond,0.0877419114112854
3,Age,0.07093119621276855
4,TotalBath,0.06567130237817764
5,GarageCars,0.047504864633083344
6,GarageType,0.031249932944774628
7,GrLivArea,0.03045187145471573
8,LotArea,0.018714869394898415
9,OverallQualCon,0.014525598846375942
10,BsmtGLQFinSF,0.014322503469884396
11,TotPorchDeckSF,0.012129610404372215
12,BsmtUnfSF,0.012114082463085651
13,HasFireplace,0.0115903839468956
14,1stFlrSF,0.009371074847877026
15,MSZoning,0.009264595806598663
16,CentralAir,0.008546611294150352
17,Neighborhood,0.008396566845476627
18,BsmtQual,0.0070756347849965096
19,LotFrontage,0.006874602288007736
20,SaleCondition,0.006826196797192097
21,MoSold,0.0040779742412269115
22,Remod_Rcy,0.0040114265866577625
23,KitchenAbvGr,0.003975236788392067
24,KitchenQual,0.003936480730772018
25,OverallCond,0.002925451844930649
26,Exterior1st,0.0028434323612600565
27,Functional,0.002801580587401986
28,BsmtExposure,0.0025828955695033073
29,MSSubClass,0.002487210091203451
30,MasVnrArea,0.002298995153978467
31,GarageQual,0.00207330659031868
32,Foundation,0.002060159808024764
33,Exterior2nd,0.0020258857402950525
34,HouseStyle,0.002014291938394308
35,BedroomAbvGr,0.002011626958847046
36,Artery,0.0019051411654800177
37,SaleType,0.0017077892553061247
38,ExterQual,0.0016809894004836679
39,FireplaceQu,0.001639981404878199
40,BsmtCond,0.0015787258744239807
41,HeatingQC,0.0014034556224942207
42,GarageCond,0.0013789924560114741
43,HasGarage,0.0013466918608173728
44,LotConfig,0.0010492196306586266
45,LandContour,0.0009556832374073565
46,MasVnrType,0.0009115320281125605
47,LandSlope,0.0008726462838239968
48,Fence,0.0008602914167568088
49,Alley,0.0006651764851994812
50,PavedDrive,0.00066182273440063
51,GarageFinish,0.0006504139746539295
52,RRAe,0.0006376596866175532
53,LotShape,0.0005751000135205686
54,BldgType,0.0004857380990870297
55,ExterCond,0.000423019053414464
56,RoofStyle,0.0004199288669042289
57,Electrical,0.00038406701060011983
58,BsmtHasBath,0.0003645714605227113
59,RoofMatl,0.00033270296989940107
60,RRAn,0.000305995752569288
61,Feedr,0.00025470825494267046
62,PosA,0.0001729307696223259
63,PosN,0.00012847137986682355
64,Has2ndFlr,0.00012523478653747588
65,RRNn,2.7561316528590396e-05
66,LowQualFinSF,0.0
67,RRNe,0.0
68,HasBsmt,0.0
