Id,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,KitchenQual,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,ScreenPorch,PoolQC,Fence,MiscVal,SaleCondition,Age,Re_Age,TotalFullBath,TotalHalfBath,SeasonSold,Artery,Feedr,PosA,PosN,RRAe,RRAn,RRNe,RRNn,LogSalePrice
1,RL,65.0,8450,Pave,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,2Story,7,VinylSd,Gd,PConc,Gd,TA,No,856,Ex,Y,1710,Gd,8,Typ,None,Attchd,2,Y,0,61,0,0,None,0,Normal,5,5,3,1,Winter,0,0,0,0,0,0,0,0,12.247694320220994
2,RL,80.0,9600,Pave,Reg,Lvl,FR2,Gtl,Veenker,1Fam,1Story,6,MetalSd,TA,CBlock,Gd,TA,Gd,1262,Ex,Y,1262,TA,6,Typ,TA,Attchd,2,Y,298,0,0,0,None,0,Normal,31,31,2,1,Spring,0,1,0,0,0,0,0,0,12.109010932687042
3,RL,68.0,11250,Pave,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,2Story,7,VinylSd,Gd,PConc,Gd,TA,Mn,920,Ex,Y,1786,Gd,6,Typ,TA,Attchd,2,Y,0,42,0,0,None,0,Normal,7,6,3,1,Fall,0,0,0,0,0,0,0,0,12.31716669303576
4,RL,60.0,9550,Pave,IR1,Lvl,Corner,Gtl,Crawfor,1Fam,2Story,7,Wd Sdng,TA,BrkTil,TA,Gd,No,756,Gd,Y,1717,Gd,7,Typ,Gd,Detchd,3,Y,0,35,0,0,None,0,Abnorml,91,36,2,0,Winter,0,0,0,0,0,0,0,0,11.84939770159144
5,RL,84.0,14260,Pave,IR1,Lvl,FR2,Gtl,NoRidge,1Fam,2Story,8,VinylSd,Gd,PConc,Gd,TA,Av,1145,Ex,Y,2198,Gd,9,Typ,TA,Attchd,3,Y,192,84,0,0,None,0,Normal,8,8,3,1,Winter,0,0,0,0,0,0,0,0,12.429216196844383
6,RL,85.0,14115,Pave,IR1,Lvl,Inside,Gtl,Mitchel,1Fam,1.5Fin,5,VinylSd,TA,Wood,Gd,TA,No,796,Ex,Y,1362,TA,5,Typ,None,Attchd,2,Y,40,30,0,0,MnPrv,700,Normal,16,14,2,1,Fall,0,0,0,0,0,0,0,0,11.870599909242044
7,RL,75.0,10084,Pave,Reg,Lvl,Inside,Gtl,Somerst,1Fam,1Story,8,VinylSd,Gd,PConc,Ex,TA,Av,1686,Ex,Y,1694,Gd,7,Typ,Gd,Attchd,2,Y,255,57,0,0,None,0,Normal,3,2,3,0,Summer,0,0,0,0,0,0,0,0,12.634603026569334
8,RL,10625.0,10382,Pave,IR1,Lvl,Corner,Gtl,NWAmes,1Fam,2Story,7,HdBoard,TA,CBlock,Gd,TA,Mn,1107,Ex,Y,2090,TA,7,Typ,TA,Attchd,2,Y,235,204,0,0,None,350,Normal,36,36,3,1,Fall,0,0,0,1,0,0,0,0,12.206072645530174
9,RM,51.0,6120,Pave,Reg,Lvl,Inside,Gtl,OldTown,1Fam,1.5Fin,7,BrkFace,TA,BrkTil,TA,TA,No,952,Gd,Y,1774,TA,8,NonTyp,TA,Detchd,2,Y,90,0,0,0,None,0,Abnorml,77,58,2,0,Spring,1,0,0,0,0,0,0,0,11.77452020265869
10,RL,50.0,7420,Pave,Reg,Lvl,Corner,Gtl,BrkSide,2fmCon,1.5Unf,5,MetalSd,TA,BrkTil,TA,TA,No,991,Ex,Y,1077,TA,5,Typ,TA,Attchd,1,Y,0,4,0,0,None,0,Normal,69,58,2,0,Winter,1,0,0,0,0,0,0,0,11.678439903447801
11,RL,70.0,11200,Pave,Reg,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,HdBoard,TA,CBlock,TA,TA,No,1040,Ex,Y,1040,TA,5,Typ,None,Detchd,1,Y,0,0,0,0,None,0,Normal,43,43,2,0,Winter,0,0,0,0,0,0,0,0,11.771436160121729
12,RL,85.0,11924,Pave,IR1,Lvl,Inside,Gtl,NridgHt,1Fam,2Story,9,WdShing,Ex,PConc,Ex,TA,No,1175,Ex,Y,2324,Ex,11,Typ,Gd,BuiltIn,3,Y,147,21,0,0,None,0,Partial,1,0,4,0,Summer,0,0,0,0,0,0,0,0,12.751299696013497
13,RL,8873.0,12968,Pave,IR2,Lvl,Inside,Gtl,Sawyer,1Fam,1Story,5,HdBoard,TA,CBlock,TA,TA,No,912,TA,Y,912,TA,4,Typ,None,Detchd,1,Y,140,0,176,0,None,0,Normal,46,46,2,0,Fall,0,0,0,0,0,0,0,0,11.877568578558138
14,RL,91.0,10652,Pave,IR1,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,7,VinylSd,Gd,PConc,Gd,TA,Av,1494,Ex,Y,1494,Gd,7,Typ,Gd,Attchd,3,Y,160,33,0,0,None,0,Partial,1,0,2,0,Summer,0,0,0,0,0,0,0,0,12.540757571577291
15,RL,82.04837541084684,10920,Pave,IR1,Lvl,Corner,Gtl,NAmes,1Fam,1Story,6,MetalSd,TA,CBlock,TA,TA,No,1253,TA,Y,1253,TA,5,Typ,Fa,Attchd,1,Y,0,213,0,0,GdWo,0,Normal,48,48,2,1,Spring,0,0,0,0,0,0,0,0,11.964001084330445
